"","Date","State","covid","mask","qanon","social distancing","vaccine","vaccine near me","cases","deaths","total_vaccinations","total_distributed","people_vaccinated","people_fully_vaccinated_per_hundred","total_vaccinations_per_hundred","people_fully_vaccinated","people_vaccinated_per_hundred","distributed_per_hundred","daily_vaccinations_raw","daily_vaccinations","daily_vaccinations_per_million","share_doses_used"
"139",2021-01-03,"Rhode Island",53,26,0,0,11,0,87949,1974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140",2021-01-03,"South Carolina",36,21,0,0,7,0,321669,5469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141",2021-01-03,"South Dakota",32,13,0,0,8,30,100532,1513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142",2021-01-03,"Tennessee",41,16,3,0,11,6,608297,7025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143",2021-01-03,"Texas",40,15,2,2,12,7,1816886,28496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144",2021-01-03,"Utah",36,13,0,0,9,0,283473,1301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145",2021-01-03,"Vermont",63,23,0,0,8,0,7793,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146",2021-01-03,"Virginia",62,20,5,0,16,9,363765,5124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147",2021-01-03,"Washington",55,22,4,0,20,0,255396,3459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148",2021-01-03,"West Virginia",74,11,0,0,18,20,91058,1376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149",2021-01-03,"Wisconsin",47,24,0,0,8,0,526245,5261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150",2021-01-03,"Wyoming",51,0,0,0,33,0,44875,438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151",2021-01-04,"Alabama",52,18,0,0,15,8,374095,4878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152",2021-01-04,"Alaska",76,23,0,0,21,0,48382,218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153",2021-01-04,"Arizona",71,22,0,0,25,7,561542,9064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154",2021-01-04,"Arkansas",60,5,0,0,18,7,234781,3800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155",2021-01-04,"California",74,25,2,2,17,3,2490518,27160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156",2021-01-04,"Colorado",38,27,14,13,9,20,343435,4944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157",2021-01-04,"Connecticut",39,32,7,0,12,4,194636,6168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158",2021-01-04,"Delaware",32,48,0,0,5,0,60333,1085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159",2021-01-04,"Florida",44,28,4,10,21,20,1376692,22090,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160",2021-01-04,"Georgia",35,36,2,7,8,7,696063,10971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161",2021-01-04,"Hawaii",66,6,0,92,13,0,22602,289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"162",2021-01-04,"Idaho",36,22,0,0,5,0,143305,1459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163",2021-01-04,"Illinois",52,24,0,8,18,4,984880,18412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164",2021-01-04,"Indiana",47,29,0,0,18,3,529688,9735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165",2021-01-04,"Iowa",34,24,0,0,16,22,286356,3992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166",2021-01-04,"Kansas",39,35,0,0,9,0,234069,2890,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"167",2021-01-04,"Kentucky",43,19,0,0,14,2,279142,2749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
