"","state","term","outcome","croscor","lagd"
"117","Alabama","social distancing","daily_vaccinations_per_million",-0.0937275279898059,-3
"118","Alabama","social distancing","daily_vaccinations_per_million",0.176205270887344,-2
"119","Alabama","social distancing","daily_vaccinations_per_million",0.0766104198578167,-1
"120","Alabama","social distancing","daily_vaccinations_per_million",0.12628776747385,0
"121","Alabama","vaccine","daily_vaccinations",-0.0440747267555344,-14
"122","Alabama","vaccine","daily_vaccinations",0.0863928639395277,-13
"123","Alabama","vaccine","daily_vaccinations",0.0312727501534951,-12
"124","Alabama","vaccine","daily_vaccinations",0.0475014670119997,-11
"125","Alabama","vaccine","daily_vaccinations",0.190920600104422,-10
"126","Alabama","vaccine","daily_vaccinations",-0.0269800041759972,-9
"127","Alabama","vaccine","daily_vaccinations",0.0927943766256113,-8
"128","Alabama","vaccine","daily_vaccinations",0.00743703446955367,-7
"129","Alabama","vaccine","daily_vaccinations",0.035871877669574,-6
"130","Alabama","vaccine","daily_vaccinations",0.022394249911398,-5
"131","Alabama","vaccine","daily_vaccinations",-0.0150938392800398,-4
"132","Alabama","vaccine","daily_vaccinations",0.121369006411661,-3
"133","Alabama","vaccine","daily_vaccinations",-0.029934928368291,-2
"134","Alabama","vaccine","daily_vaccinations",0.324950234321453,-1
"135","Alabama","vaccine","daily_vaccinations",0.0063375690593663,0
"136","Alabama","vaccine","daily_vaccinations_per_million",-0.0447466355959197,-14
"137","Alabama","vaccine","daily_vaccinations_per_million",0.0868460574968951,-13
"138","Alabama","vaccine","daily_vaccinations_per_million",0.0310019933286725,-12
"139","Alabama","vaccine","daily_vaccinations_per_million",0.047501220497799,-11
"140","Alabama","vaccine","daily_vaccinations_per_million",0.190804571717789,-10
"141","Alabama","vaccine","daily_vaccinations_per_million",-0.0270766723020204,-9
"142","Alabama","vaccine","daily_vaccinations_per_million",0.0928225653562065,-8
"143","Alabama","vaccine","daily_vaccinations_per_million",0.00739281268347171,-7
"144","Alabama","vaccine","daily_vaccinations_per_million",0.0360282198297398,-6
"145","Alabama","vaccine","daily_vaccinations_per_million",0.0221843865896369,-5
"146","Alabama","vaccine","daily_vaccinations_per_million",-0.0147945556524027,-4
"147","Alabama","vaccine","daily_vaccinations_per_million",0.120808331855479,-3
"148","Alabama","vaccine","daily_vaccinations_per_million",-0.029791773366538,-2
"149","Alabama","vaccine","daily_vaccinations_per_million",0.324701625674629,-1
"150","Alabama","vaccine","daily_vaccinations_per_million",0.00631184150895981,0
"151","Alabama","vaccine near me","daily_vaccinations",0.043672293232013,-14
"152","Alabama","vaccine near me","daily_vaccinations",-0.0375688066104993,-13
"153","Alabama","vaccine near me","daily_vaccinations",0.0612590313365892,-12
"154","Alabama","vaccine near me","daily_vaccinations",0.143324343557849,-11
"155","Alabama","vaccine near me","daily_vaccinations",0.106795094979313,-10
"156","Alabama","vaccine near me","daily_vaccinations",0.0526695243349632,-9
"157","Alabama","vaccine near me","daily_vaccinations",0.0205721841247245,-8
"158","Alabama","vaccine near me","daily_vaccinations",0.0226005794578924,-7
"159","Alabama","vaccine near me","daily_vaccinations",-0.0490273623144784,-6
"160","Alabama","vaccine near me","daily_vaccinations",-0.00170083374651221,-5
"161","Alabama","vaccine near me","daily_vaccinations",-0.0397961422927889,-4
"162","Alabama","vaccine near me","daily_vaccinations",-0.0274375265185643,-3
"163","Alabama","vaccine near me","daily_vaccinations",-0.039996994302274,-2
"164","Alabama","vaccine near me","daily_vaccinations",0.201884508916413,-1
"165","Alabama","vaccine near me","daily_vaccinations",0.0548941346021474,0
"166","Alabama","vaccine near me","daily_vaccinations_per_million",0.0438757459202105,-14
"167","Alabama","vaccine near me","daily_vaccinations_per_million",-0.037558283550796,-13
"168","Alabama","vaccine near me","daily_vaccinations_per_million",0.0607576431441415,-12
"169","Alabama","vaccine near me","daily_vaccinations_per_million",0.143601863879824,-11
"170","Alabama","vaccine near me","daily_vaccinations_per_million",0.106425422366734,-10
"171","Alabama","vaccine near me","daily_vaccinations_per_million",0.0528247639040438,-9
"172","Alabama","vaccine near me","daily_vaccinations_per_million",0.0207239319869418,-8
"173","Alabama","vaccine near me","daily_vaccinations_per_million",0.0223034877382385,-7
"174","Alabama","vaccine near me","daily_vaccinations_per_million",-0.048647364645757,-6
"175","Alabama","vaccine near me","daily_vaccinations_per_million",-0.00189887795134642,-5
"176","Alabama","vaccine near me","daily_vaccinations_per_million",-0.0396608417321947,-4
"177","Alabama","vaccine near me","daily_vaccinations_per_million",-0.027549098044248,-3
"178","Alabama","vaccine near me","daily_vaccinations_per_million",-0.0401506666669074,-2
"179","Alabama","vaccine near me","daily_vaccinations_per_million",0.201859144030834,-1
"180","Alabama","vaccine near me","daily_vaccinations_per_million",0.0546717659323013,0
"181","Alaska","covid","daily_vaccinations",0.134681518813535,-14
"182","Alaska","covid","daily_vaccinations",-0.0263422621917915,-13
"183","Alaska","covid","daily_vaccinations",0.0876387204597238,-12
"184","Alaska","covid","daily_vaccinations",0.059958160130305,-11
"185","Alaska","covid","daily_vaccinations",0.000584550691717015,-10
"186","Alaska","covid","daily_vaccinations",0.0123461398806255,-9
"187","Alaska","covid","daily_vaccinations",-0.056658796788584,-8
"188","Alaska","covid","daily_vaccinations",0.010615808172061,-7
"189","Alaska","covid","daily_vaccinations",0.012066777582457,-6
"190","Alaska","covid","daily_vaccinations",-0.0677999271306384,-5
"191","Alaska","covid","daily_vaccinations",-0.1087351805637,-4
"192","Alaska","covid","daily_vaccinations",-0.0796377412172366,-3
"193","Alaska","covid","daily_vaccinations",0.0109551365137401,-2
